condition,group,label,ITEST_id,step_idx,skill,citation_required,stage1_used,stage3_used,truncated_in_thinking,n_sentences,faithfulness_rate,hallucination_rate,hedge_violation_rate,structural_violation_rate,conditional_faithfulness_rate,conditional_hallucination_rate,n_content_eligible
naive,baseline,Naive Prompting,6295,630,percent-of,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,6295,630,percent-of,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),6295,630,percent-of,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),6295,630,percent-of,True,False,True,False,3,0.0,1.0,0.0,0.0,0.0,1.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,6295,630,percent-of,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),6295,630,percent-of,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,3002,580,scientific-notation,False,False,True,False,3,1.0,0.0,0.0,,1.0,0.0,3.0
template,baseline,Template-only,3002,580,scientific-notation,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
full,baseline,MetaKT-Verba (Full),3002,580,scientific-notation,True,True,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),3002,580,scientific-notation,True,False,True,False,3,1.0,0.0,0.0,0.0,1.0,0.0,3.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,3002,580,scientific-notation,False,True,True,False,4,1.0,0.0,0.0,,1.0,0.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),3002,580,scientific-notation,True,True,False,False,1,,,,0.0,,,
naive,baseline,Naive Prompting,3618,72,percent-of,False,False,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
template,baseline,Template-only,3618,72,percent-of,True,True,True,False,2,1.0,0.0,0.0,0.0,1.0,0.0,2.0
full,baseline,MetaKT-Verba (Full),3618,72,percent-of,True,True,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_stage1,ablation,w/o Symbolic Grounding (Stage 1),3618,72,percent-of,True,False,True,False,2,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ablate_citation,ablation,w/o Citation-Forcing Prompt,3618,72,percent-of,False,True,True,False,4,0.0,1.0,0.0,,0.0,1.0,4.0
ablate_stage3,ablation,w/o Auto Verification (Stage 3),3618,72,percent-of,True,True,False,False,2,,,,0.0,,,
naive,baseline,Naive Prompting,1989,117,perimeter,False,False,True,False,4,1.0,0.0,0.0,,1.0,0.0,4.0
