rater_id,item_id,agreement_score,reason
R1,1A,1,"응답 시간이 개인 평균의 1.6~2.1배로 매우 길었고, 힌트를 사용하지 않고 415단계에서는 정답을 도출했습니다. 힌트를 미사용한 것은 도움요청을 회피했다기 보다는 자기주도적으로 문제를 해결하려 한 시도로 해석했으며 긴 응답 시간 역시 과제에 학생이 고민하며 깊이 생각하는 시간이 있었음을 반영한다고 생각하였습니다 "
R1,1B,1,학생은 개인 평균보다 1.5-2.0배 정도로 길게 고민하면서 힌트 사용을 1회에서 3회까지 빈도수를 늘리면서 적극적으로 도움을 구했고 마지막 단계에서는 정답을 맞혔습니다. 도움을 피하기보다 적극적으로 활용해 문제를 해결했다고 생각하였습니다. 
R1,2A,1,"개인 평균 수준(0.80~1.10배)의 응답 시간이 들었고 
힌트 없이 146단계에서는 정답을 도출했으므로 문제를 회피한 것이 아니라 나름의 인지적 노력을 기울인 것으로 판단하였습니다 "
R1,2B,1,"학생은 단계마다 1~2회의 힌트를 요청하며 평균 수준의 응답 시간을 유지했고, 힌트를 활용해 204단계에서 정답을 맞혔습니다. 이러한 행동에는 회피 경향이 있다고 생각하지 않았습니다 오히려 적절한 힌트를 활용해 문제를 풀어나가려는 노력이 소요된 시간 및 힌트 사용여부에서 나타났다고 생각했습니다.  "
R1,3,4,위 학생은 매우 짧은 응답 시간 동안 힌트를 7~8회씩 계속 사용하며 오답을 낸 기록은 문제를 스스로 해결하기보다 힌트에 과도하게 의존하는 인지적 회피 행동을 보여준다고 생각하여 서술내용과 잘 일치한다고 생각하였습니다 
R1,4,5,문제를 고민하지도 않고 힌트조차 요청하지 않은 채 0.1초 만에 연속으로 찍는 행동은 도움 요청을 완전히 회피한 모습이라고 생각하였습니다.
R2,1A,1,4문항 모두 응답시간이 개인 평균 대비 김. 회피 대비가 아니라 오래 시도한 패턴임. 정답률 역시 비슷함.
R2,1B,1,"시간도 오래걸려 회피라 보기 어렵고, 힌트도 여러번 사용해서 힌트라 보기 어려움. 정답률과 비교할때 학생 평소 수준이라고 보는 것이 맞음."
R2,2A,2,응답시간은 평범함. 힌트 미사용만으로 과제 회피라 보기 어려움. 정답률 역시 비슷함. 힌트 미사용은 스스로 풀려고 보는 것이 맞는 것 같음.
R2,2B,1,"응답시간은 평소와 차이가 거의 없고, 힌트도 꾸준히 사용하여서 회피했다는 근거로 보기 어려움. 정답률 역시 비슷함."
R2,3,2,"1041 1042가 빨리 오답인 것으로 볼 때 회피라 볼 수 있지만, 힌트를 많이 눌럿기 때문에 도움 요청 회피라고 보기는 어려움. 정답률 역시 비슷."
R2,4,5,"시간이 매우 짧고, 힌트도 전혀 쓰지 않아 어려운 문제와 도움 요청 회피 둘다 강하게 드러남."
R3,1A,2,"단계가 진행되어도 성실하게 충분한 시간을 투자하여 풀이하였고, 비록 오답이 있었지만, 나중에는 정답을 도출함. 이 정답률이 누적 정답률과 유사함. 도움 요청은 회피한 것으로 생각됨."
R3,1B,1,"평균보다 더 많은 응답시간을 투자하였으며, 기존의 누적 정답률과 유사한 정답률을 보여준 부분에서, 충분한 시간을 투자하여 어려움을 회피하지 않고, 도움을 요청하며 해결한 것으로 생각됨."
R3,2A,2,"비록 평균 대비 짧은 시간을 투자하였지만, 그래도 풀이에 합당한 시간을 투자한 것으로 보이며, 정답률이 누적 정답률과 유사한 것을 보아 자신의 실력으로 풀이한 것으로 생각됨. 도움 요청은 회피한 것으로 생각됨."
R3,2B,1,"누적 정답률과 유사한 결과를 보이는 것으로 보아 본인의 실력으로 해결한 것으로 보이며, 적절한 힌트를 사용하여 충분한 시간을 투자한 것으로 보아 직면한 것으로 보임."
R3,3,4,"지나치게 짧은 응답 시간을 보여주었고, 지나치게 많은 힌트를 사용한 것으로 보아 회피하려는 경향이 분명하게 보인 듯 함. 다만 마지막 문항의 경우 충반한 시간을 투자하였고, 힌트를 사용하지 않은 것으로 보아 직면하려는 태도 또한 일부 관찰됨."
R3,4,5,모든 문항에서 지나치게 짧은 시간을 투자한 것으로 보아 직면하여 답하기 보다는 회피하려는 태도로 보여짐. 또한 모든 문항에서 오답을 응답함.
R4,1A,2,응답 시간이 긴 편으로 문항에 대해 오래 고민한 편이라 회피했다고 보기는 어려움. 하지만 힌트를 아예 사용하지 않았기에 2점으로 체크함. 
R4,1B,1,응답 시간이 긴 편이고 힌트도 적당히 사용한 것으로 보아 문제를 해결하려고 노력한 것으로 보임. 
R4,2A,2,응답 시간이 적당히 평균이어서 단순히 힌트를 사용하지 않았다는 이유로 회피했다고 보기는 어려움. 하지만 힌트를 아예 사용하지 않았기에 2점으로 체크함. 
R4,2B,1,응답 시간도 평균이고 힌트도 적당히 사용한 것으로 보아 문제를 해결하려고 노력한 것으로 보임.
R4,3,3,"거의 모든 문항에서 반복적으로 힌트를 많이 사용하였고 한 문항은 길게 고민하여 정답을 고른 것으로 보아 문제를 해결하려고 노력한 것으로 보임. 하지만 응답 시간이 매우 짧은 문항들이 다수 있고, 힌트를 아예 사용하지 않은 문항도 있어 어려운 문제를 힌트에 과도하게 의존하고 정답 그대로 쓰고 풀이하는 것은 피하려는 경향이 약간 보임. "
R4,4,5,모든 문항에서 힌트를 사용하지 않고 매우 짧은 응답 시간을 기록함. 
R5,1A,2,"개인 평균 대비 1.5~2배 가까운 시간을 써서 문제를 풀었음. 도움 요청(힌트) 은 사용하지 않았지만, 어려운 문제를 회피하려고 했다는 경향을 보였다고 판단하는 것은 조심스러움."
R5,1B,1,개인 평균 대비 평균 이상인 응답 시간 + 적절한 힌트 사용으로 보았을 때 위 서술에 해당된다고 판단하기 어려움.
R5,2A,4,"대체로 빠른 응답 시간, 힌트 미사용 행동 경향을 보았을 때, 위에 서술된 바와 같이 판단할 수 있음."
R5,2B,1,개인 평균 대비 평균 치 응답 시간 + 적절한 힌트 사용한 것으로 보았을 때 위 서술에 해당된다고 판단하기 어려움.
R5,3,4,"다수의 힌트를 사용하였지만 개인 평균 대비 응답 시간이 너무 짧음. 과도한 힌트 의존, 반복 추측 경향이 있다고 판단 할 수 있음."
R5,4,4,개인 평균 대비 지나치게 짧은 응답 시간 + 힌트 미사용으로 보았을 때 위에 서술된 바와 같이 판단할 수 있음.
