item_id,sentence_id,majority_tag,cited_indicators,indicator,is_core,is_negative_control,score,verifier,premise,,,,,,,
Q087,S1,unsupported,[],FALSE,FALSE,0.277099609,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,,
Q087,S2,unsupported,['productive_struggle'],productive_struggle,FALSE,FALSE,0.088378906,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q087,S3,unsupported,[],FALSE,FALSE,0.045043945,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,,
Q099,S1,partial,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.001051903,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q099,S2,partial,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.011367798,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q099,S3,supported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.985839844,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q134,S1,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.144897461,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q134,S2,partial,['overconfidence'],overconfidence,FALSE,FALSE,0.963867188,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q134,S3,partial,['overconfidence'],overconfidence,FALSE,FALSE,0.007534027,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q054,S1,supported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.099487305,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q054,S2,partial,['slipping'],slipping,FALSE,FALSE,0.027801514,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q054,S3,supported,['slipping'],slipping,FALSE,FALSE,0.00510025,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q053,S1,supported,['confidence_triad'],confidence_triad,FALSE,FALSE,0.758789063,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q053,S2,unsupported,[],FALSE,FALSE,0.020401001,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,,
Q053,S3,unsupported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.84375,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q028,S1,partial,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.997070313,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q028,S2,supported,['slipping'],slipping,FALSE,FALSE,0.005958557,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q014,S1,supported,['confidence_triad'],confidence_triad,TRUE,FALSE,0.845214844,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q014,S2,partial,['confidence_triad'],confidence_triad,TRUE,FALSE,0.852050781,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q014,S3,supported,['confidence_triad'],confidence_triad,TRUE,FALSE,0.984375,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q136,S1,partial,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.099487305,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q136,S2,partial,['slipping'],slipping,FALSE,FALSE,0.00535965,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q136,S3,partial,['slipping'],slipping,FALSE,FALSE,0.005706787,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q117,S1,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.004810333,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q117,S2,partial,['slipping'],slipping,FALSE,FALSE,0.010452271,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q128,S1,unsupported,['productive_struggle'],productive_struggle,FALSE,FALSE,0.946289063,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q128,S2,unsupported,['productive_struggle'],productive_struggle,FALSE,FALSE,0.329589844,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q128,S3,unsupported,['productive_struggle'],productive_struggle,FALSE,FALSE,0.012115479,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q075,S1,unsupported,['cognitive_avoidance'],cognitive_avoidance,TRUE,FALSE,0.3671875,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q019,S1,supported,['overconfidence'],overconfidence,FALSE,FALSE,0.000492573,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q019,S2,supported,['slipping'],slipping,FALSE,FALSE,0.003234863,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q055,S1,supported,['cognitive_avoidance'],cognitive_avoidance,FALSE,FALSE,0.3671875,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q055,S2,supported,['slipping'],slipping,FALSE,FALSE,0.269287109,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,
Q123,S1,partial,[],FALSE,FALSE,0.458251953,mDeBERTa-v3-base-mnli-xnli,fact,,,,,,,,
