item_id,rater_id,level1_tags,faithfulness,actionability,clarity,free_text,duration_sec
Q081,R4,S1:unsupported;S3:unsupported;S2:unsupported,2,1,4,"S1: unproductive frustration은 높은 노력을 전제로 하는데 학생의 응답 시간이 4문항 모두 매우 짧은 것으로 보아 높은 노력을 했다고 보기 힘듦. 
S2: 높은 수준의 강도가 기록되지 않았음에도 기록되었다고 보고 그 것을 기반으로 판단함.",388
Q139,R4,S1:partial;S3:unsupported;S2:supported,3,3,5,"S1: overconfidence가 확신 높음(응답시간 빠름) + 오답을 의미한다는 점에서 방향은 맞으나 466번 문항에서 많은 시간과 힌트를 쓰면서 풀기 위해 노력했다는 점이 반영되어 서술 될 필요가 있음. 
S3: Slipping은 높은 확신에도 실수로 추정되는 오답을 의미하는데, 거의 모든 문항에서 힌트를 많이 쓴 것으로 보아 높은 확신을 가지고 있다고 보기 어렵고 실수보다는 몰라서 못 풀었을 가능성이 높다고 보임. ",509
Q115,R4,S1:unsupported;S2:unsupported,1,1,4,"S1: 오히려 이 학생은 힌트를 사용하지 않고 시간을 들여 본인이 지속적으로 시도하는 productive struggle 지표를 보임.
s2: 주어진 행동 기록을 통해 좌절감을 느끼는 부분을 찾을 수 없음. ",221
Q080,R4,S2:supported;S3:supported;S1:unsupported,3,3,5,s1: 응답시간은 빠르나 힌트를 많이 썼다는 점에서 자신감을 가지고 있다고 보긴 힘듦. ,173
Q102,R4,S1:supported;S2:unsupported;S3:unsupported,2,1,3,"s2, s3: 해당 학생은 slipping, 높은 확신에도 실수로 추정되는 오답이 있는 것으로 보임. 서술된 두 개의 문장은 overconfidence 상태인 학생에 더 알맞은 설명으로 보임. ",475
Q074,R4,S2:unsupported;S1:partial,2,1,5,"s1: 반복적인 오답에도 힌트를 전혀 사용하지 않는다는 점에서 약간의 회피 가능성이 보인다고 할 수 있음. 
s2: fustration 등의 어려움을 판단할 근거가 없음. ",547
Q051,R4,S1:unsupported;S3:partial;S2:partial,3,2,4,"s1: 28번 문항 등 전반적인 문항에서 높은 응답 시간을 기록하며 힌트 없이 문제를 해결하기 위해 노력을 한 것으로 보임. 도전적인 과제를 피한다고 보기 어려움. 
s2: 이 행동이 전반적인 문항에 나타나는 것으로 보아 지속적으로 보인다는 판단은 옳으나, 복잡한 상황을 피하려는 경향성이 있는지 판단하기는 어려움. 
s3: 계속되는 오답에서 힌트를 전혀 사용하지 않았다는 점에서 깊이 소통하려는 의지가 다소 부족하다는 판단도 가능함. 하지만 28번 문항같이 긴 응답 시간을 보내며 문제와 소통하려 했다는 점에서 이 문장을 확신하긴 어려움.",426
Q084,R4,S2:supported;S1:unsupported,3,3,4,"s1: 2번 문항은 오답이지만 힌트를 사용하는 등 어느 정도 문제와 소통한 것으로 판단됨. 또한 어려운 부분을 꺼리는 점은 발견할 수 없음. 
",5849
Q087,R4,S1:unsupported;S2:unsupported;S3:unsupported,1,3,5,"s1: 힌트를 많이 사용했음에도 불구하고 오답인 경우가 많으며 문제당 할당한 소요 시간도 짧은 편인 것으로 보아 독립적인 문제 해결을 보이지 않았음. 
s2: 힌트 의존도가 높으며 힌트를 통해 문제를 해결하려 하기 보다 정답을 바로 제공 받기 원하는 것으로 판단됨. 외부 지도가 필요한 것으로 보임. 
s3: 참여 수준은 외부 지도가 필요한 수준임.",1517
Q082,R4,S1:partial;S3:supported;S2:unsupported,3,4,4,"s1: 힌트를 사용하지 않고 정답을 맞췄다는 점에서 어느 정도 방향성은 일치하나, 문항 하나에 대해서만 정보가 주어져있고 이전 정답률 정보가 없는 등 정보가 제한적이라는 점에서 확신할 수는 없음.
s2: 행동 기록 만으로는 파악할 수 없음.",383
Q117,R4,S1:supported;S2:partial,4,4,5,"s2: 빠르게 오답 처리를 한 점 등을 통해  주의력이나 집중력 부족일 가능성이 높게 보이나, 스킬 정답률이 22%인 점으로 보아 아예 몰랐을 가능성도 있음.",488
Q116,R4,S2:unsupported;S1:partial,2,1,4,"s1: 뒤의 두 문항에 대해 매우 짧은 응답시간을 가진 것으로 보아 그럴 가능성이 어느정도 있으나 위의 두 문항은 이와 반대되기 때문에 과장된 표현으로 느껴짐.
s2: 앞의 두 문항에 대해 오랜 시간에 걸쳐 힌트를 사용하며 문제를 해결하려고 하는 모습을 보임. 이는 서술과는 반대로 오히려 어려운 문제를 직면하려고 시도한 것으로 보임.",3
Q002,R4,S1:supported;S2:supported,5,3,5,,2
