item_id,sentence_id,recovered_entailment,recovered_citation,recovery_method
Q093,S2,0.91162109375,cognitive_avoidance,recovered_from_tag_residue
Q031,S2,0.953125,cognitive_avoidance,recovered_from_tag_residue
Q033,S2,0.06646728515625,cognitive_avoidance,recovered_from_tag_residue
Q122,S2,0.953125,cognitive_avoidance,recovered_from_tag_residue
Q075,S2,0.68310546875,cognitive_avoidance,recovered_from_tag_residue
Q057,S2,0.68310546875,cognitive_avoidance,recovered_from_tag_residue
Q052,S2,0.97119140625,cognitive_avoidance,recovered_from_tag_residue
Q116,S2,0.68310546875,cognitive_avoidance,recovered_from_tag_residue
Q015,S2,0.0213470458984375,cognitive_avoidance,recovered_from_tag_residue
Q119,S2,0.9541015625,cognitive_avoidance,recovered_from_tag_residue
Q061,S2,0.00577545166015625,cognitive_avoidance,recovered_from_tag_residue
Q106,S2,0.71826171875,cognitive_avoidance,recovered_from_tag_residue
Q062,S2,0.98828125,cognitive_avoidance,recovered_from_tag_residue
Q079,S2,0.0085601806640625,cognitive_avoidance,recovered_from_tag_residue
Q121,S2,0.0048828125,unproductive_frustration,recovered_from_tag_residue
Q025,S2,0.00457000732421875,unproductive_frustration,recovered_from_tag_residue
Q084,S1,0.01155853271484375,overconfidence,inferred_negative_control
Q084,S2,0.0197601318359375,overconfidence,inferred_negative_control
Q092,S1,0.01361846923828125,cognitive_avoidance,inferred_negative_control
Q092,S2,0.02520751953125,cognitive_avoidance,inferred_negative_control
Q092,S3,0.00927734375,cognitive_avoidance,inferred_negative_control
Q026,S1,0.0129547119140625,confidence_triad,inferred_negative_control
Q026,S2,0.0069427490234375,confidence_triad,inferred_negative_control
Q026,S3,0.002681732177734375,confidence_triad,inferred_negative_control
Q072,S1,0.0010395050048828125,productive_struggle,inferred_negative_control
Q072,S2,0.0318603515625,productive_struggle,inferred_negative_control
Q072,S3,0.00868988037109375,productive_struggle,inferred_negative_control
Q004,S1,0.56982421875,cognitive_avoidance,inferred_negative_control
Q004,S2,0.0039825439453125,cognitive_avoidance,inferred_negative_control
Q004,S3,0.003574371337890625,slipping,inferred_negative_control
Q078,S1,0.348388671875,cognitive_avoidance,inferred_negative_control
Q078,S2,0.0026073455810546875,cognitive_avoidance,inferred_negative_control
Q065,S1,0.98779296875,cognitive_avoidance,inferred_negative_control
Q065,S2,0.0140228271484375,productive_struggle,inferred_negative_control
Q060,S1,0.677734375,cognitive_avoidance,inferred_negative_control
Q060,S2,0.0013971328735351562,cognitive_avoidance,inferred_negative_control
Q060,S3,0.06976318359375,cognitive_avoidance,inferred_negative_control
Q056,S1,0.00804901123046875,confidence_triad,inferred_negative_control
Q056,S2,0.30517578125,confidence_triad,inferred_negative_control
Q024,S1,0.09661865234375,confidence_triad,inferred_negative_control
Q024,S2,0.0040435791015625,confidence_triad,inferred_negative_control
Q008,S1,0.01361846923828125,cognitive_avoidance,inferred_negative_control
Q008,S2,0.01125335693359375,productive_struggle,inferred_negative_control
Q008,S3,0.03033447265625,productive_struggle,inferred_negative_control
Q009,S1,0.00954437255859375,confidence_triad,inferred_negative_control
Q009,S2,0.00580596923828125,confidence_triad,inferred_negative_control
Q009,S3,0.01788330078125,confidence_triad,inferred_negative_control
Q109,S1,0.677734375,cognitive_avoidance,inferred_negative_control
Q109,S2,0.0023651123046875,slipping,inferred_negative_control
Q109,S3,0.0182647705078125,cognitive_avoidance,inferred_negative_control
Q023,S1,0.362060546875,cognitive_avoidance,inferred_negative_control
Q023,S2,0.7802734375,cognitive_avoidance,inferred_negative_control
Q023,S3,0.049407958984375,cognitive_avoidance,inferred_negative_control
Q023,S4,0.0325927734375,productive_struggle,inferred_negative_control
Q027,S1,0.031158447265625,confidence_triad,inferred_negative_control
Q027,S2,0.006511688232421875,confidence_triad,inferred_negative_control
Q027,S3,0.04705810546875,confidence_triad,inferred_negative_control
Q036,S1,0.08770751953125,confidence_triad,inferred_negative_control
Q036,S2,0.00333404541015625,confidence_triad,inferred_negative_control
Q058,S1,0.51123046875,cognitive_avoidance,inferred_negative_control
Q058,S2,0.0060882568359375,cognitive_avoidance,inferred_negative_control
Q058,S3,0.0229339599609375,cognitive_avoidance,inferred_negative_control
Q063,S1,0.01467132568359375,confidence_triad,inferred_negative_control
Q063,S2,0.07122802734375,confidence_triad,inferred_negative_control
