item_id,sentence_id,sentence_text,majority_tag,n_raters,cited_indicators,fact_premise_list,fact_premise,record_premise,indicator,is_core,is_negative_control,,,,,,,
Q135,S1,"The student provided a correct response without seeking assistance, indicating some level of engagement with the task.",supported,1,['confidence_triad'],"['The status of this indicator (confidence_triad) is AMBIGUOUS. The student answered correctly without using a hint, but the current data cannot structurally distinguish whether this reflects a correct answer despite low confidence (underconfidence), a correct answer after productive struggle (productive_struggle), or a lucky guess (lucky_guess). (Note: confidence is high, so the signal leans slightly toward productive struggle.)']","The status of this indicator (confidence_triad) is AMBIGUOUS. The student answered correctly without using a hint, but the current data cannot structurally distinguish whether this reflects a correct answer despite low confidence (underconfidence), a correct answer after productive struggle (productive_struggle), or a lucky guess (lucky_guess). (Note: confidence is high, so the signal leans slightly toward productive struggle.)","The student is practicing the skill 'noskill'. Before these attempts, the student's cumulative accuracy on this skill was 20%. On attempt 1, the student answered correctly, used no hints, and took 0.34 times their own average response time. On attempt 2, the student answered incorrectly, used no hints, and took 13.97 times their own average response time. On attempt 3, the student answered incorrectly, used no hints, and took 1.51 times their own average response time. On attempt 4, the student answered correctly, used no hints, and took 0.62 times their own average response time.",confidence_triad,FALSE,FALSE,,,,,,,
Q135,S2,"This outcome could reflect either a successful resolution through effort or a chance occurrence, as the available data does not definitively clarify the underlying process.",supported,1,['confidence_triad'],"['The status of this indicator (confidence_triad) is AMBIGUOUS. The student answered correctly without using a hint, but the current data cannot structurally distinguish whether this reflects a correct answer despite low confidence (underconfidence), a correct answer after productive struggle (productive_struggle), or a lucky guess (lucky_guess). (Note: confidence is high, so the signal leans slightly toward productive struggle.)']","The status of this indicator (confidence_triad) is AMBIGUOUS. The student answered correctly without using a hint, but the current data cannot structurally distinguish whether this reflects a correct answer despite low confidence (underconfidence), a correct answer after productive struggle (productive_struggle), or a lucky guess (lucky_guess). (Note: confidence is high, so the signal leans slightly toward productive struggle.)","The student is practicing the skill 'noskill'. Before these attempts, the student's cumulative accuracy on this skill was 20%. On attempt 1, the student answered correctly, used no hints, and took 0.34 times their own average response time. On attempt 2, the student answered incorrectly, used no hints, and took 13.97 times their own average response time. On attempt 3, the student answered incorrectly, used no hints, and took 1.51 times their own average response time. On attempt 4, the student answered correctly, used no hints, and took 0.62 times their own average response time.",confidence_triad,FALSE,FALSE,,,,,,,
Q135,S3,There is a slight inclination suggesting the response may have resulted from meaningful problem-solving rather than mere luck.,supported,1,['confidence_triad'],"['The status of this indicator (confidence_triad) is AMBIGUOUS. The student answered correctly without using a hint, but the current data cannot structurally distinguish whether this reflects a correct answer despite low confidence (underconfidence), a correct answer after productive struggle (productive_struggle), or a lucky guess (lucky_guess). (Note: confidence is high, so the signal leans slightly toward productive struggle.)']","The status of this indicator (confidence_triad) is AMBIGUOUS. The student answered correctly without using a hint, but the current data cannot structurally distinguish whether this reflects a correct answer despite low confidence (underconfidence), a correct answer after productive struggle (productive_struggle), or a lucky guess (lucky_guess). (Note: confidence is high, so the signal leans slightly toward productive struggle.)","The student is practicing the skill 'noskill'. Before these attempts, the student's cumulative accuracy on this skill was 20%. On attempt 1, the student answered correctly, used no hints, and took 0.34 times their own average response time. On attempt 2, the student answered incorrectly, used no hints, and took 13.97 times their own average response time. On attempt 3, the student answered incorrectly, used no hints, and took 1.51 times their own average response time. On attempt 4, the student answered correctly, used no hints, and took 0.62 times their own average response time.",confidence_triad,FALSE,FALSE,,,,,,,
Q049,S1,"The student exhibits signs of avoiding challenging tasks, indicating a possible reluctance to engage deeply with complex problems.",unsupported,1,['cognitive_avoidance'],['The student showed a tendency to avoid difficult problems or avoid asking for help.'],The student showed a tendency to avoid difficult problems or avoid asking for help.,"The student is practicing the skill 'combinatorics'. Before these attempts, the student's cumulative accuracy on this skill was 38%. On attempt 1, the student answered incorrectly, used no hints, and took 1.80 times their own average response time. On attempt 2, the student answered correctly, used no hints, and took 0.48 times their own average response time. On attempt 3, the student answered correctly, used no hints, and took 0.42 times their own average response time. On attempt 4, the student answered incorrectly, used no hints, and took 0.53 times their own average response time.",cognitive_avoidance,FALSE,FALSE,,,,,,,
Q049,S2,The student also shows frustration that does not lead to productive problem-solving efforts.,unsupported,1,['unproductive_frustration'],['The student experienced unproductive frustration amid repeated failures or difficulty.'],The student experienced unproductive frustration amid repeated failures or difficulty.,"The student is practicing the skill 'combinatorics'. Before these attempts, the student's cumulative accuracy on this skill was 38%. On attempt 1, the student answered incorrectly, used no hints, and took 1.80 times their own average response time. On attempt 2, the student answered correctly, used no hints, and took 0.48 times their own average response time. On attempt 3, the student answered correctly, used no hints, and took 0.42 times their own average response time. On attempt 4, the student answered incorrectly, used no hints, and took 0.53 times their own average response time.",unproductive_frustration,FALSE,FALSE,,,,,,,
Q049,S3,There is a noticeable pattern of errors occurring frequently during practice sessions.,partial,1,['slipping'],['The student made an unexpected mistake on content they had previously understood well.'],The student made an unexpected mistake on content they had previously understood well.,"The student is practicing the skill 'combinatorics'. Before these attempts, the student's cumulative accuracy on this skill was 38%. On attempt 1, the student answered incorrectly, used no hints, and took 1.80 times their own average response time. On attempt 2, the student answered correctly, used no hints, and took 0.48 times their own average response time. On attempt 3, the student answered correctly, used no hints, and took 0.42 times their own average response time. On attempt 4, the student answered incorrectly, used no hints, and took 0.53 times their own average response time.",slipping,FALSE,FALSE,,,,,,,
Q097,S1,"The student exhibits signs of avoiding engaging deeply with the task, indicating a possible reluctance to confront challenging aspects of the skill.",unsupported,1,['cognitive_avoidance'],['The student showed a tendency to avoid difficult problems or avoid asking for help.'],The student showed a tendency to avoid difficult problems or avoid asking for help.,"The student is practicing the skill 'sum-of-interior-angles-more-than-3-sides'. Before these attempts, the student's cumulative accuracy on this skill was 25%. On attempt 1, the student answered incorrectly, used no hints, and took 0.46 times their own average response time. On attempt 2, the student answered incorrectly, used no hints, and took 0.62 times their own average response time. On attempt 3, the student answered correctly, used no hints, and took 4.85 times their own average response time. On attempt 4, the student answered incorrectly, used no hints, and took 3.25 times their own average response time.",cognitive_avoidance,FALSE,FALSE,,,,,,,
Q097,S2,"The student also shows frustration that does not lead to productive problem-solving efforts, suggesting difficulty in managing emotional responses during practice.",unknown,1,['unproductive_frustration'],['The student experienced unproductive frustration amid repeated failures or difficulty.'],The student experienced unproductive frustration amid repeated failures or difficulty.,"The student is practicing the skill 'sum-of-interior-angles-more-than-3-sides'. Before these attempts, the student's cumulative accuracy on this skill was 25%. On attempt 1, the student answered incorrectly, used no hints, and took 0.46 times their own average response time. On attempt 2, the student answered incorrectly, used no hints, and took 0.62 times their own average response time. On attempt 3, the student answered correctly, used no hints, and took 4.85 times their own average response time. On attempt 4, the student answered incorrectly, used no hints, and took 3.25 times their own average response time.",unproductive_frustration,FALSE,FALSE,,,,,,,
Q014,S1,"The student provided a correct response without seeking assistance, yet it remains unclear whether this accuracy stemmed from genuine understanding, persistent effort, or chance.",supported,5,['confidence_triad'],"['The status of this indicator (confidence_triad) is AMBIGUOUS. The student answered correctly without using a hint, but the current data cannot structurally distinguish whether this reflects a correct answer despite low confidence (underconfidence), a correct answer after productive struggle (productive_struggle), or a lucky guess (lucky_guess). (Confidence is also mid-range, so even the direction of the signal is weak.)']","The status of this indicator (confidence_triad) is AMBIGUOUS. The student answered correctly without using a hint, but the current data cannot structurally distinguish whether this reflects a correct answer despite low confidence (underconfidence), a correct answer after productive struggle (productive_struggle), or a lucky guess (lucky_guess). (Confidence is also mid-range, so even the direction of the signal is weak.)","The student is practicing the skill 'noskill'. Before these attempts, the student's cumulative accuracy on this skill was 0%. On attempt 1, the student answered incorrectly, used 1 hint, and took 0.79 times their own average response time. On attempt 2, the student answered incorrectly, used no hints, and took 3.29 times their own average response time. On attempt 3, the student answered incorrectly, used no hints, and took 0.42 times their own average response time. On attempt 4, the student answered correctly, used no hints, and took 2.58 times their own average response time.",confidence_triad,TRUE,FALSE,,,,,,,
Q014,S2,This outcome does not strongly indicate a particular level of confidence or engagement with the material.,partial,5,['confidence_triad'],"['The status of this indicator (confidence_triad) is AMBIGUOUS. The student answered correctly without using a hint, but the current data cannot structurally distinguish whether this reflects a correct answer despite low confidence (underconfidence), a correct answer after productive struggle (productive_struggle), or a lucky guess (lucky_guess). (Confidence is also mid-range, so even the direction of the signal is weak.)']","The status of this indicator (confidence_triad) is AMBIGUOUS. The student answered correctly without using a hint, but the current data cannot structurally distinguish whether this reflects a correct answer despite low confidence (underconfidence), a correct answer after productive struggle (productive_struggle), or a lucky guess (lucky_guess). (Confidence is also mid-range, so even the direction of the signal is weak.)","The student is practicing the skill 'noskill'. Before these attempts, the student's cumulative accuracy on this skill was 0%. On attempt 1, the student answered incorrectly, used 1 hint, and took 0.79 times their own average response time. On attempt 2, the student answered incorrectly, used no hints, and took 3.29 times their own average response time. On attempt 3, the student answered incorrectly, used no hints, and took 0.42 times their own average response time. On attempt 4, the student answered correctly, used no hints, and took 2.58 times their own average response time.",confidence_triad,TRUE,FALSE,,,,,,,
Q014,S3,The available information does not allow for a clear determination of the underlying factors contributing to the correct answer.,supported,5,['confidence_triad'],"['The status of this indicator (confidence_triad) is AMBIGUOUS. The student answered correctly without using a hint, but the current data cannot structurally distinguish whether this reflects a correct answer despite low confidence (underconfidence), a correct answer after productive struggle (productive_struggle), or a lucky guess (lucky_guess). (Confidence is also mid-range, so even the direction of the signal is weak.)']","The status of this indicator (confidence_triad) is AMBIGUOUS. The student answered correctly without using a hint, but the current data cannot structurally distinguish whether this reflects a correct answer despite low confidence (underconfidence), a correct answer after productive struggle (productive_struggle), or a lucky guess (lucky_guess). (Confidence is also mid-range, so even the direction of the signal is weak.)","The student is practicing the skill 'noskill'. Before these attempts, the student's cumulative accuracy on this skill was 0%. On attempt 1, the student answered incorrectly, used 1 hint, and took 0.79 times their own average response time. On attempt 2, the student answered incorrectly, used no hints, and took 3.29 times their own average response time. On attempt 3, the student answered incorrectly, used no hints, and took 0.42 times their own average response time. On attempt 4, the student answered correctly, used no hints, and took 2.58 times their own average response time.",confidence_triad,TRUE,FALSE,,,,,,,
Q127,S1,The student demonstrated a strong sense of certainty in their responses.,partial,1,['overconfidence'],"['The student showed excessive confidence, higher than their actual level of understanding warranted.']","The student showed excessive confidence, higher than their actual level of understanding warranted.","The student is practicing the skill 'proportion'. Before these attempts, the student's cumulative accuracy on this skill was 40%. On attempt 1, the student answered incorrectly, used 2 hints, and took 0.21 times their own average response time. On attempt 2, the student answered correctly, used 2 hints, and took 1.04 times their own average response time. On attempt 3, the student answered correctly, used no hints, and took 1.09 times their own average response time. On attempt 4, the student answered incorrectly, used 1 hint, and took 0.42 times their own average response time.",overconfidence,FALSE,FALSE,,,,,,,
Q127,S2,The level of confidence indicated was maximal.,unsupported,1,['overconfidence'],"['The student showed excessive confidence, higher than their actual level of understanding warranted.']","The student showed excessive confidence, higher than their actual level of understanding warranted.","The student is practicing the skill 'proportion'. Before these attempts, the student's cumulative accuracy on this skill was 40%. On attempt 1, the student answered incorrectly, used 2 hints, and took 0.21 times their own average response time. On attempt 2, the student answered correctly, used 2 hints, and took 1.04 times their own average response time. On attempt 3, the student answered correctly, used no hints, and took 1.09 times their own average response time. On attempt 4, the student answered incorrectly, used 1 hint, and took 0.42 times their own average response time.",overconfidence,FALSE,FALSE,,,,,,,
Q127,S3,There appears to be no indication of doubt or hesitation in their approach.,unsupported,1,['overconfidence'],"['The student showed excessive confidence, higher than their actual level of understanding warranted.']","The student showed excessive confidence, higher than their actual level of understanding warranted.","The student is practicing the skill 'proportion'. Before these attempts, the student's cumulative accuracy on this skill was 40%. On attempt 1, the student answered incorrectly, used 2 hints, and took 0.21 times their own average response time. On attempt 2, the student answered correctly, used 2 hints, and took 1.04 times their own average response time. On attempt 3, the student answered correctly, used no hints, and took 1.09 times their own average response time. On attempt 4, the student answered incorrectly, used 1 hint, and took 0.42 times their own average response time.",overconfidence,FALSE,FALSE,,,,,,,
