display_id,sentence_id,sentence_en,sentence_ko,translation_ok,cited_indicators,auto_status,auto_entailment,auto_detail
Q130,S1,The student exhibits signs of overconfidence.,학생이 과신의 징후를 보입니다.,True,overconfidence,PASS,0.9931640625,
Q130,S2,The student also shows indications of slipping.,학생은 또한 미끄러지는 징후를 보인다.,True,slipping,FAIL_NLI,0.0027561187744140625,entailment=0.003 < 임계값0.5
Q085,S1,"The student exhibits signs of overconfidence, indicated by a high status level.","학생은 과신의 징후를 보이며, 높은 상태 수준을 나타내고 있습니다.",True,overconfidence,PASS,0.94970703125,
Q085,S2,"The student also shows slipping, marked by another high status level.","학생은 또한 미끄러짐을 보이며, 또 다른 높은 상태 수준으로 표시된다.",True,slipping,FAIL_NLI,0.0041046142578125,entailment=0.004 < 임계값0.5
Q140,S1,The student demonstrates a strong sense of certainty in their responses.,학생은 자신의 답변에 대해 강한 확신을 보인다.,True,overconfidence,PASS,0.73388671875,
Q140,S2,Their confidence level appears elevated compared to typical performance expectations.,그들의 자신감 수준은 일반적인 성과 기대치에 비해 높아 보인다.,True,overconfidence,PASS,0.939453125,
Q010,S1,The student exhibits signs of overconfidence.,학생이 과신의 징후를 보입니다.,True,overconfidence,PASS,0.9931640625,
Q010,S2,The student also shows indications of slipping.,학생은 또한 미끄러지는 징후를 보인다.,True,slipping,FAIL_NLI,0.0027561187744140625,entailment=0.003 < 임계값0.5
Q064,S1,The student demonstrates a high level of overconfidence.,학생이 과도한 자신감을 보여준다.,True,overconfidence,PASS,0.99365234375,
Q017,S1,"The student exhibits signs of overconfidence, indicated by a high status level.","학생은 과신의 징후를 보이며, 높은 상태 수준을 나타내고 있습니다.",True,overconfidence,PASS,0.94970703125,
Q017,S2,The student also shows a high degree of slipping.,학생은 또한 높은 정도의 실수를 보인다.,True,slipping,FAIL_NLI,0.0034332275390625,entailment=0.003 < 임계값0.5
Q077,S1,The student exhibits signs of overconfidence.,학생이 과신의 징후를 보입니다.,True,overconfidence,PASS,0.9931640625,
Q077,S2,The student also shows indications of slipping.,학생은 또한 미끄러지는 징후를 보인다.,True,slipping,FAIL_NLI,0.0027561187744140625,entailment=0.003 < 임계값0.5
Q102,S1,The student demonstrates a strong sense of certainty in their responses.,학생은 자신의 답변에 대해 강한 확신을 보인다.,True,overconfidence,PASS,0.73388671875,
Q102,S2,This indicates they may have less inclination to seek clarification or consider alternative perspectives.,이는 그들이 해명을 요청하거나 다른 관점을 고려하는 데 대한 의향이 적을 수 있음을 나타냅니다.,True,overconfidence,FAIL_NLI,0.00433349609375,entailment=0.004 < 임계값0.5
